submitted_symbol	official_symbol	flybase_id	current_fullname	symbol_synonyms	secondary_flybase_ids	annotation_id	match_type	ambiguous
bru1	bru1	FBgn0000114	bruno 1	ARET|Aret|aret|aret/bruno1|arrest/Bruno|BcDNA:GM15173|Bru|bru|bru-1|Bru1|Bruno|bruno|Bruno 1|CG31762|CG6319|Dm Bru|ms(2)01284|NEST:bs01g04|NEST:bs34h11	FBgn0015367,FBgn0045095,FBgn0045436,FBgn0051762,FBgn0063197	CG31762	official_symbol	No
Hrb98DE	Hrb98DE	FBgn0001215	Heterogeneous nuclear ribonucleoprotein at 98DE	anon-E7Delta6|anon-E7Δ6|CG9983|E7Delta6|E7Δ6|HDP(P9)|hnRNP A2/B1|Hrb1|Hrb98 de|hrb98 de|HRB98DE|hrb98DE|hrb98de|HRB98DE/hrp38|Hrb98DE/Hrp38|Hrp38|hrp38|p9|Pen9	FBgn0003056,FBgn0014945	CG9983	official_symbol	No
mod	mod	FBgn0002780	modulo	0952/14|CG2050|Mod|Modulo|ms(3)100EF	FBgn0011255	CG2050	official_symbol	Yes
sm	sm	FBgn0003435	smooth	BcDNA:GH10856|CG9218|l(2)05338|SM|Sm|smo|smooth	FBgn0010597,FBgn0063694	CG9218	official_symbol	Yes
snf	snf	FBgn0003449	sans fille	CG4528|D25|dSNF|fs(1)1621|fs(1)A16121|fs(1)A1621|liz|SNF|Snf|SNF/D25|snf1621|snRNP B''|snRNP-U1-A|U1-A|U1A|U2 snRNP|U2 snRNP B'' protein|U2B	FBgn0005667	CG4528	official_symbol	No
tra2	tra2	FBgn0003742	transformer 2	CG10128|TRA 2|TRA-2|Tra-2|tra-2|TRA2|Tra2		CG10128	official_symbol	No
nonA	nonA	FBgn0004227	no on or off transient A	Bj6|Bj6-1|CG4211|diss|dNONO|non-A|NONA|NonA|nona|nonA/diss|opm2|p54[nrb]|x14	FBgn0000188,FBgn0002957	CG4211	official_symbol	No
Hrb87F	Hrb87F	FBgn0004237	Heterogeneous nuclear ribonucleoprotein at 87F	CG12749|hnRNP A2/B1|hnRNP36|hnRNPA1|hnRNPA1/A2|hnRNPA2|hnRNPA2/B1|Hrb2|Hrb85CD|HRB87F|Hrb87f|hrb87f|HRB87F/hrp36|Hrb87Fa|HRP36|Hrp36|hrp36|P11|P11/Hrb87F|p38|Q14|Q16	FBgn0010230	CG12749	official_symbol	No
B52	B52	FBgn0004587	B52	B52/dSRp55|B52/SRp55|CG10851|dSRp55|E(Dfd)|E726|l(3)s2249|MabB52|Rbp8|RRM8|rrm8|RSp55|SR55|SRp55|SRSF6	FBgn0004424,FBgn0010262,FBgn0011022,FBgn0013330	CG10851	official_symbol	Yes
Hrb27C	Hrb27C	FBgn0004838	Heterogeneous nuclear ribonucleoprotein at 27C	10280|CG10377|hnRNP-C|hnRNP27C|hnRNP48|hrb27|Hrb27-C|HRB27C|Hrb27c|hrb27C|hrb27c|Hrb27C/Hrp48|Hrb48|HRP48|Hrp48|hrp48|Hrp48/Hrb27C|l(2)02647|l(2)10280|l(2)2647|linha|Ov5|p50|Rbp7|RRM7|rrm7	FBgn0010261,FBgn0016665,FBgn0019729,FBgn0024845,FBgn0061493	CG10377	official_symbol	No
orb	orb	FBgn0004882	oo18 RNA-binding protein	151666_s_at|CG10868|fs(3)00107|Oo18|oo18|oo18 RNA-binding protein|ORB|Orb|ORB1|Orb1		CG10868	official_symbol	Yes
Rb97D	Rb97D	FBgn0004903	Ribonuclear protein at 97D	CG6354|Hrb97D|ms(3)03445|R16|rb97d|Rb97D1|rbf|RBP97D		CG6354	official_symbol	No
U2af50	U2af50	FBgn0005411	U2 small nuclear riboprotein auxiliary factor 50	9-21|CG9998|DmU2AF[50]|DU2AF50|dU2AF50|dU2AF[50]|dUTAf[50]|l(1)14Ca|l(1)14Cc|l(1)9-21|U2AF|U2af|U2AF 50|U2AF-50|U2AF50		CG9998	official_symbol	No
Pabp2	Pabp2	FBgn0005648	Pabp2	CG2163|dpabII|PABP2|pAbp2|pabp2|PABPN1|ROX2|Rox2|rox2		CG2163	official_symbol	No
Rox8	Rox8	FBgn0005649	Rox8	CG5422|DmTIAR|dTIAR|Rbp12|Rox-8|ROX8|rox8|RRM12|rrm12|TIAR	FBgn0010255,FBgn0010283	CG5422	official_symbol	No
Rbp4	Rbp4	FBgn0010258	RNA-binding protein 4	CG9654|rbp4|RRM4|rrm4|TSR|Tsr|tsr		CG9654	official_symbol	No
Rbp9	Rbp9	FBgn0010263	RNA-binding protein 9	CG15402|CG3151|fes|fs(2)B|rbp|Rbp10|RBP9|rbp9|RBP9-2|rbp9a|Rpb9|RRM10|rrm10|RRM9|rrm9	FBgn0010253,FBgn0031482	CG3151	official_symbol	No
Ref1	Ref1	FBgn0010774	RNA and export factor binding protein 1	ALY|Aly|aly|ALYREF|alyref|BcDNA:LD24793|CG1101|cg1101|DmREF1|dmREF1|l(3)02267|REF1|ref1	FBgn0027857	CG1101	official_symbol	No
bol	bol	FBgn0011206	boule	BcDNA:AT13332|BOL|Bol|Boule|boule|CG4727|CG4760|lincRNA.485|ms(3)07272	FBgn0040826,FBgn0063736	CG4760	official_symbol	No
heph	heph	FBgn0011224	hephaestus	CG2094|CG2290|CG31000|DmPTB|dmPTB|dPTB|ema|HEPH|Heph|Hephaestus|hnRNP I|l(3)03429|l(3)j11B9|PTB|Ptb|ptb	FBgn0010798,FBgn0011433,FBgn0029138,FBgn0039884,FBgn0039885,FBgn0051000	CG31000	official_symbol	No
Rsf1	Rsf1	FBgn0011305	Repressor splicing factor 1	CG5655|dRSF1|ROX21|Rox21|rox21|RSF1		CG5655	official_symbol	No
lark	lark	FBgn0011640	lark	CG8597|dLARK|LARK|Lark		CG8597	official_symbol	No
msi	msi	FBgn0011666	musashi	3R11|anon-EST:Liang-2.35|CG5099|clone 2.35|dMSI|dMsi|DMSIDNA|MSI|Msi|musashi|SIDNA		CG5099	official_symbol	Yes
Rnp4F	Rnp4F	FBgn0014024	RNA-binding protein 4F	4F-rnp|4f-rnp|CG3312|RNP-4F|Rnp-4F|rnp-4f|Rnp4f		CG3312	official_symbol	No
